scenario,instance,reschedule_rate_pct,highstab_threshold_P50,method,trial,union_hv,highstab_hv,aoc
la36S,la36_la36_small,27,16,ILS-baseline,0,0.986411,0.078823,0.505608
la36S,la36_la36_small,27,16,ILS-baseline,1,0.989435,0.078823,0.474393
la36S,la36_la36_small,27,16,ILS-baseline,2,0.989435,0.078823,0.513900
la36S,la36_la36_small,27,16,ILS-baseline,3,0.977339,0.078823,0.490862
la36S,la36_la36_small,27,16,ILS-baseline,4,0.989435,0.078823,0.486826
la36S,la36_la36_small,27,16,ILS-baseline,5,0.989435,0.078823,0.477049
la36S,la36_la36_small,27,16,ILS-baseline,6,0.963226,0.078823,0.475075
la36S,la36_la36_small,27,16,ILS-baseline,7,0.989435,0.078823,0.491690
la36S,la36_la36_small,27,16,ILS-baseline,8,0.989435,0.078823,0.533647
la36S,la36_la36_small,27,16,ILS-baseline,9,0.954153,0.078823,0.468905
la36S,la36_la36_small,27,16,ILS+repair,0,0.990444,0.079992,0.472788
la36S,la36_la36_small,27,16,ILS+repair,1,0.990444,0.078823,0.469841
la36S,la36_la36_small,27,16,ILS+repair,2,0.990444,0.078823,0.516465
la36S,la36_la36_small,27,16,ILS+repair,3,0.979355,0.078823,0.477619
la36S,la36_la36_small,27,16,ILS+repair,4,0.989435,0.078823,0.481617
la36S,la36_la36_small,27,16,ILS+repair,5,0.989435,0.078823,0.478493
la36S,la36_la36_small,27,16,ILS+repair,6,0.960202,0.078823,0.519121
la36S,la36_la36_small,27,16,ILS+repair,7,0.989435,0.078823,0.476468
la36S,la36_la36_small,27,16,ILS+repair,8,0.989435,0.078823,0.545264
la36S,la36_la36_small,27,16,ILS+repair,9,0.944073,0.078823,0.452507
la36S,la36_la36_small,27,16,ILS+PR,0,0.990444,0.078823,0.489567
la36S,la36_la36_small,27,16,ILS+PR,1,0.989435,0.078823,0.478173
la36S,la36_la36_small,27,16,ILS+PR,2,0.991452,0.079992,0.519097
la36S,la36_la36_small,27,16,ILS+PR,3,0.973306,0.078823,0.460807
la36S,la36_la36_small,27,16,ILS+PR,4,0.990444,0.078823,0.465151
la36S,la36_la36_small,27,16,ILS+PR,5,0.993468,0.082331,0.472887
la36S,la36_la36_small,27,16,ILS+PR,6,0.972298,0.078823,0.518089
la36S,la36_la36_small,27,16,ILS+PR,7,0.990444,0.078823,0.460789
la36S,la36_la36_small,27,16,ILS+PR,8,0.990444,0.078823,0.548266
la36S,la36_la36_small,27,16,ILS+PR,9,0.944073,0.078823,0.467990
la36S,la36_la36_small,27,16,GA,0,0.717863,0.023621,0.271461
la36S,la36_la36_small,27,16,GA,1,0.671492,0.035919,0.303359
la36S,la36_la36_small,27,16,GA,2,0.711008,0.026565,0.238889
la36S,la36_la36_small,27,16,GA,3,0.731169,0.037089,0.411551
la36S,la36_la36_small,27,16,GA,4,0.893266,0.037089,0.406432
la36S,la36_la36_small,27,16,GA,5,0.857581,0.000000,0.146825
la36S,la36_la36_small,27,16,GA,6,0.885202,0.037089,0.326430
la36S,la36_la36_small,27,16,GA,7,0.663427,0.035919,0.239974
la36S,la36_la36_small,27,16,GA,8,0.748407,0.035919,0.380976
la36S,la36_la36_small,27,16,GA,9,0.812319,0.037089,0.394304
la36S,la36_la36_small,27,16,Memetic-LS,0,0.887823,0.000000,0.543125
la36S,la36_la36_small,27,16,Memetic-LS,1,0.887823,0.000000,0.544734
la36S,la36_la36_small,27,16,Memetic-LS,2,0.888831,0.000000,0.553829
la36S,la36_la36_small,27,16,Memetic-LS,3,0.879758,0.000000,0.565786
la36S,la36_la36_small,27,16,Memetic-LS,4,0.910202,0.023621,0.513727
la36S,la36_la36_small,27,16,Memetic-LS,5,0.887823,0.000000,0.546354
la36S,la36_la36_small,27,16,Memetic-LS,6,0.887823,0.000000,0.537077
la36S,la36_la36_small,27,16,Memetic-LS,7,0.887823,0.000000,0.557465
la36S,la36_la36_small,27,16,Memetic-LS,8,0.888831,0.000000,0.509896
la36S,la36_la36_small,27,16,Memetic-LS,9,0.887823,0.000000,0.539189
la36S,la36_la36_small,27,16,Memetic+repair,0,0.989435,0.078298,0.549485
la36S,la36_la36_small,27,16,Memetic+repair,1,0.989435,0.078298,0.561549
la36S,la36_la36_small,27,16,Memetic+repair,2,0.992460,0.082331,0.561310
la36S,la36_la36_small,27,16,Memetic+repair,3,0.993468,0.082331,0.537456
la36S,la36_la36_small,27,16,Memetic+repair,4,0.991452,0.079992,0.522668
la36S,la36_la36_small,27,16,Memetic+repair,5,0.991452,0.079992,0.538847
la36S,la36_la36_small,27,16,Memetic+repair,6,0.991452,0.079992,0.497997
la36S,la36_la36_small,27,16,Memetic+repair,7,0.989435,0.078298,0.554453
la36S,la36_la36_small,27,16,Memetic+repair,8,0.993468,0.082331,0.514330
la36S,la36_la36_small,27,16,Memetic+repair,9,0.992460,0.082331,0.540593
la36S,la36_la36_small,27,16,Memetic+PR,0,0.991452,0.079992,0.508987
la36S,la36_la36_small,27,16,Memetic+PR,1,0.989435,0.078298,0.508429
la36S,la36_la36_small,27,16,Memetic+PR,2,0.990444,0.078823,0.566037
la36S,la36_la36_small,27,16,Memetic+PR,3,0.991452,0.079992,0.550007
la36S,la36_la36_small,27,16,Memetic+PR,4,0.993468,0.082331,0.512023
la36S,la36_la36_small,27,16,Memetic+PR,5,0.987419,0.075960,0.511030
la36S,la36_la36_small,27,16,Memetic+PR,6,0.989435,0.078298,0.449786
la36S,la36_la36_small,27,16,Memetic+PR,7,0.987419,0.075960,0.520391
la36S,la36_la36_small,27,16,Memetic+PR,8,0.991452,0.079992,0.468799
la36S,la36_la36_small,27,16,Memetic+PR,9,0.993468,0.082331,0.539182
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,0,1.170671,0.049040,1.071848
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,1,1.171106,0.049040,1.064982
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,2,1.171106,0.049040,1.050553
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,3,1.171106,0.049040,1.065123
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,4,1.170671,0.049040,1.069339
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,5,1.171106,0.049040,1.065896
