15 10
2 34  3 55  5 95  9 16  4 21  6 71  0 53  8 52  1 21  7 26
3 39  2 31  0 12  1 42  4 79  8 77  6 77  9 98  7 55  5 66
1 19  0 83  3 34  4 64  6 18  5 25  7 48  8 32  9 76  2 63
1 77  0 93  4 69  3 19  7 54  9 77  2 87  6 38  8 79  5 83
2 79  3 62  1 66  4 42  0 27  7 52  8 68  9 58  5 69  6 88
0 15  1 83  3 43  5 11  2 12  4 94  8 57  6 99  7 49  9 60
2 20  0 71  3 28  4 98  6 14  9 91  7 66  5 75  8 50  1 42
1 46  0 22  3 32  4 59  2 27  8 72  6 69  9 45  7 47  5 78
1 76  0 29  4 75  3 81  8 78  5 51  2 90  6 89  7 28  9 90
0 40  2 70  1 44  8 28  4 88  7 16  5 73  6 37  9 29  3 41
1 12  2 43  0 56  3 30  8 23  7 87  6 22  5 17  9 14  4 47
2 28  0 45  1 31  3 87  4 27  5 67  6 48  9 89  7 80  8 93
0 63  3 85  1 32  4 44  5 91  2 7  9 10  8 17  6 97  7 28
0 71  2 16  3 59  4 75  5 27  6 68  8 47  9 90  7 76  1 84
3 85  2 61  4 41  0 24  6 38  7 12  5 98  1 93  8 44  9 35
