15 15
1 29  12 18  4 45  0 22  3 26  9 69  5 73  6 1  10 55  13 41  14 57  11 14  7 68  8 21  2 84
8 77  3 42  14 35  1 86  4 39  12 49  10 59  11 13  2 73  6 52  7 25  5 69  0 56  13 66  9 94
13 21  6 54  9 83  7 77  2 64  14 34  0 73  8 9  11 87  10 25  5 27  4 57  12 95  1 45  3 43
6 28  2 51  14 64  7 18  1 44  9 89  10 40  0 76  8 74  13 26  4 51  5 85  3 11  12 69  11 76
14 40  8 89  2 26  7 74  12 36  9 48  4 79  5 32  3 46  10 86  6 64  1 76  0 52  11 90  13 45
7 13  0 85  3 61  4 7  11 64  6 76  5 47  14 67  13 80  8 41  2 55  9 35  12 84  10 93  1 42
14 16  6 34  10 55  4 21  0 53  1 71  5 95  9 21  3 26  2 52  7 64  8 72  12 98  13 42  11 31
3 64  13 28  6 18  1 19  4 34  5 25  0 83  7 48  12 94  8 32  9 76  10 15  14 57  2 63  11 11
3 85  14 35  4 41  0 24  6 38  11 67  1 93  5 98  2 61  7 12  13 44  12 47  8 90  10 48  9 80
1 66  4 42  3 62  0 27  2 79  12 49  13 60  7 68  14 88  8 58  11 52  6 69  5 69  9 27  10 72
3 28  6 69  13 45  2 20  12 91  0 71  5 75  4 98  7 50  11 14  1 42  8 66  14 22  10 47  9 27
4 59  0 22  3 32  1 46  2 27  8 72  6 69  14 90  7 47  5 78  10 76  13 29  12 28  9 89  11 45
0 40  3 41  2 70  1 44  4 88  13 29  5 51  8 78  11 73  7 16  6 37  9 43  12 23  14 90  10 28
1 83  5 11  3 43  0 15  2 12  4 94  6 72  11 87  13 99  8 57  12 39  7 49  9 60  10 41  14 62
0 93  1 77  4 69  3 19  6 38  7 54  2 87  14 77  5 83  9 79  10 43  8 62  13 66  12 42  11 52
